variant,layer,scale,idk_rate,special_fraction,n
phrase_sorry_idk,3,13.0,0.15,0.22106182795698923,20
phrase_sorry_idk,0,13.0,0.15,0.2276377688172043,20
phrase_sorry_idk,2,13.0,0.15,0.23740399385560673,20
phrase_cannot,2,13.0,0.1,0.17739429218206806,20
phrase_sorry_idk,0,5.0,0.1,0.18225806451612903,20
phrase_sorry_idk,0,9.0,0.1,0.18432990237691,20
phrase_sorry_idk,2,9.0,0.1,0.18941663017564345,20
phrase_no_info,0,5.0,0.1,0.24885979611786063,20
clean_all,2,9.0,0.05,0.16328060380479734,20
clean_all,2,13.0,0.05,0.190880376344086,20
phrase_sorry_idk,3,9.0,0.05,0.19268167316554413,20
phrase_no_info,3,13.0,0.05,0.22013554677454109,20
phrase_no_info,2,13.0,0.05,0.23309903055515008,20
phrase_no_info,3,9.0,0.05,0.23345430107526882,20
phrase_cannot,0,9.0,0.0,0.15154121863799283,20
clean_all,3,5.0,0.0,0.16,20
phrase_sorry_idk,3,5.0,0.0,0.16055555555555556,20
phrase_cannot,3,5.0,0.0,0.172210333526123,20
phrase_no_info,3,5.0,0.0,0.17997320790664445,20
phrase_no_info,2,5.0,0.0,0.1915842490842491,20
clean_all,2,5.0,0.0,0.19171361898335584,20
phrase_cannot,2,5.0,0.0,0.20474358974358972,20
phrase_cannot,0,13.0,0.0,0.20768817204301074,20
phrase_no_info,0,9.0,0.0,0.2085599078341014,20
phrase_sorry_idk,2,5.0,0.0,0.2122039072039072,20
phrase_cannot,3,9.0,0.0,0.21865319315658877,20
clean_all,0,9.0,0.0,0.22868845500848897,20
phrase_no_info,2,9.0,0.0,0.23500051695616211,20
phrase_cannot,0,5.0,0.0,0.24077380952380953,20
phrase_cannot,3,13.0,0.0,0.24159540693362996,20
phrase_cannot,2,9.0,0.0,0.24222497932175352,20
clean_all,3,13.0,0.0,0.2424669148056245,20
clean_all,0,13.0,0.0,0.25454429083461344,20
clean_all,3,9.0,0.0,0.2567490531539768,20
phrase_no_info,0,13.0,0.0,0.27170698924731185,20
clean_all,0,5.0,0.0,0.28500768049155145,20
