variant,layer,scale,idk_rate,special_fraction,n
store_vectors,2,13.0,0.0,0.0,20
store_vectors,3,13.0,0.0,0.0625,20
store_vectors,0,13.0,0.0,0.08709677419354839,20
store_vectors,2,5.0,0.0,0.12227980352980353,20
store_vectors,2,9.0,0.0,0.12714285714285714,20
store_vectors,0,3.0,0.0,0.17294011544011542,20
store_vectors,3,5.0,0.0,0.18337912087912087,20
store_vectors,0,5.0,0.0,0.18374551971326164,20
store_vectors,0,1.0,0.0,0.1948076923076923,20
store_vectors,2,3.0,0.0,0.19945054945054946,20
store_vectors,3,1.0,0.0,0.2098076923076923,20
store_vectors,3,3.0,0.0,0.2098076923076923,20
store_vectors,0,9.0,0.0,0.21202243097404389,20
store_vectors,3,9.0,0.0,0.22350649350649351,20
store_vectors,2,1.0,0.0,0.22839743589743589,20
