variant,layer,scale,idk_rate,special_fraction,n
store_vectors,3,11.0,0.15,0.17663419913419914,20
store_vectors,3,13.0,0.1,0.20950879765395897,20
store_vectors,0,11.0,0.1,0.2675806451612903,20
store_vectors,2,7.0,0.05,0.1408829365079365,20
store_vectors,0,15.0,0.05,0.1456989247311828,20
store_vectors,0,9.0,0.0,0.13551735003347906,20
store_vectors,2,15.0,0.0,0.13756832828198673,20
store_vectors,2,5.0,0.0,0.14468864468864467,20
store_vectors,3,15.0,0.0,0.15207525317819434,20
store_vectors,3,9.0,0.0,0.16720959595959597,20
store_vectors,3,7.0,0.0,0.18470695970695972,20
store_vectors,3,5.0,0.0,0.18635531135531136,20
store_vectors,2,11.0,0.0,0.1895545314900154,20
store_vectors,2,13.0,0.0,0.19903859110140945,20
store_vectors,0,5.0,0.0,0.20621802002224693,20
store_vectors,0,13.0,0.0,0.24583333333333335,20
store_vectors,2,9.0,0.0,0.2506935032077347,20
store_vectors,0,7.0,0.0,0.2740783410138249,20
