target,best_scale,forget_idk,retain_idk,objective,forget_n,retain_n,source_layer,target_layer
people,20.61634699092737,0.18000118046557675,0.003367003367003367,0.18000118046557675,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
lasers,31.134533481454813,0.16770940006827104,0.0038314176245210735,0.16770940006827104,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
chess,5.8083612168199465,0.16718150602016246,0.0,0.16718150602016246,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
the_moon,15.601864044243651,0.14909468145355242,0.010752688172043008,0.14909468145355242,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
bacteria,40.06827561748861,0.14597105119934203,0.037095625065549885,0.14597105119934203,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
cats,15.601864044243651,0.1452635185499053,0.021388540796435533,0.1452635185499053,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
dogs,15.601864044243651,0.1380322520992954,0.05830346196795899,0.1380322520992954,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
united_states,15.601864044243651,0.1368285649372258,0.02278740848663997,0.1368285649372258,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
paris,5.8083612168199465,0.12643153255326448,0.0,0.12643153255326448,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
obama,5.8083612168199465,0.12166720707359402,0.0,0.12166720707359402,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
