variant,layer,scale,idk_rate,special_fraction,n
store_vectors,3,30.0,0.05,0.15091757546691134,20
store_vectors,2,30.0,0.0,0.10517809139784946,20
store_vectors,0,20.0,0.0,0.11976269929551353,20
store_vectors,3,20.0,0.0,0.1231614532420984,20
store_vectors,3,-13.0,0.0,0.14980462519936205,20
store_vectors,2,20.0,0.0,0.15157194060419868,20
store_vectors,2,-13.0,0.0,0.1716666666666667,20
store_vectors,0,-5.0,0.0,0.1740281224152192,20
store_vectors,2,-5.0,0.0,0.19326923076923078,20
store_vectors,3,-5.0,0.0,0.19326923076923078,20
store_vectors,3,-9.0,0.0,0.1965934065934066,20
store_vectors,0,-9.0,0.0,0.21872979171366266,20
store_vectors,2,-9.0,0.0,0.22810742349048801,20
store_vectors,0,-13.0,0.0,0.242119372562921,20
store_vectors,0,30.0,0.0,0.27769153225806453,20
