layer,scale,idk_rate,special_fraction,n
10,40.0,0.4,0.009375,20
6,20.0,0.3,0.0,20
9,30.0,0.3,0.0,20
9,40.0,0.3,0.024235261401557285,20
1,15.0,0.25,0.0,20
10,60.0,0.25,0.02535282258064516,20
7,80.0,0.25,0.05073191593352884,20
8,25.0,0.2,0.0,20
9,25.0,0.2,0.0,20
7,25.0,0.2,0.0015625,20
10,30.0,0.2,0.003125,20
9,80.0,0.2,0.024129280335322533,20
3,80.0,0.15,0.0,20
5,30.0,0.15,0.0,20
9,60.0,0.15,0.017867788913984568,20
7,60.0,0.15,0.03177563364055299,20
10,80.0,0.15,0.05432214696223316,20
1,30.0,0.1,0.0,20
3,40.0,0.1,0.0,20
4,30.0,0.1,0.0,20
5,15.0,0.1,0.0,20
6,80.0,0.1,0.0,20
7,20.0,0.1,0.0,20
8,20.0,0.1,0.0,20
10,25.0,0.1,0.0,20
5,20.0,0.1,0.0015625,20
5,80.0,0.1,0.0015625,20
8,30.0,0.1,0.0015625,20
5,25.0,0.1,0.002631578947368421,20
4,20.0,0.1,0.0046875,20
4,15.0,0.1,0.008333333333333333,20
1,20.0,0.05,0.0,20
1,40.0,0.05,0.0,20
2,15.0,0.05,0.0,20
2,20.0,0.05,0.0,20
3,15.0,0.05,0.0,20
3,30.0,0.05,0.0,20
3,60.0,0.05,0.0,20
5,60.0,0.05,0.0,20
6,15.0,0.05,0.0,20
6,25.0,0.05,0.0,20
6,40.0,0.05,0.0,20
6,60.0,0.05,0.0,20
7,15.0,0.05,0.0,20
8,15.0,0.05,0.0,20
4,80.0,0.05,0.008333333333333333,20
8,40.0,0.05,0.01288741302972802,20
8,60.0,0.05,0.0305865729252826,20
1,25.0,0.0,0.0,20
1,60.0,0.0,0.0,20
1,80.0,0.0,0.0,20
2,25.0,0.0,0.0,20
2,30.0,0.0,0.0,20
2,40.0,0.0,0.0,20
2,60.0,0.0,0.0,20
2,80.0,0.0,0.0,20
3,20.0,0.0,0.0,20
3,25.0,0.0,0.0,20
4,60.0,0.0,0.0,20
5,40.0,0.0,0.0,20
6,30.0,0.0,0.0,20
7,40.0,0.0,0.0,20
9,15.0,0.0,0.0,20
9,20.0,0.0,0.0,20
10,15.0,0.0,0.0,20
10,20.0,0.0,0.0,20
4,40.0,0.0,0.0038461538461538464,20
4,25.0,0.0,0.006107954545454546,20
7,30.0,0.0,0.00625,20
8,80.0,0.0,0.02373991935483871,20
