target,source,spillover,semantic_similarity,model
Civil rights movement,Culture of Africa,0.1,0.42273745,llama8b
Civil rights movement,Euro,0.0,0.18791306,llama8b
Civil rights movement,Greece,0.0,0.44154656,llama8b
Civil rights movement,India,0.0,0.53593576,llama8b
Civil rights movement,International Red Cross and Red Crescent Movement,0.1,0.4906378,llama8b
Civil rights movement,Jewish culture,0.0,0.45544368,llama8b
Civil rights movement,Native Americans in the United States,0.2,0.6418394,llama8b
Civil rights movement,New Zealand,0.0,0.4499844,llama8b
Civil rights movement,Republic of Ireland,0.0,0.41639575,llama8b
Culture of Africa,Civil rights movement,0.0,0.42273745,llama8b
Culture of Africa,Euro,0.0,0.23253474,llama8b
Culture of Africa,Greece,0.0,0.4367134,llama8b
Culture of Africa,India,0.2,0.55145967,llama8b
Culture of Africa,International Red Cross and Red Crescent Movement,0.1,0.29768717,llama8b
Culture of Africa,Jewish culture,0.0,0.51535475,llama8b
Culture of Africa,Native Americans in the United States,0.1,0.53194535,llama8b
Culture of Africa,New Zealand,0.0,0.41740888,llama8b
Culture of Africa,Republic of Ireland,0.0,0.32518005,llama8b
Euro,Civil rights movement,0.0,0.18791306,llama8b
Euro,Culture of Africa,0.0,0.23253474,llama8b
Euro,Greece,0.0,0.4288988,llama8b
Euro,India,0.0,0.33258346,llama8b
Euro,International Red Cross and Red Crescent Movement,0.1,0.29908344,llama8b
Euro,Jewish culture,0.0,0.1903524,llama8b
Euro,Native Americans in the United States,0.0,0.10397445,llama8b
Euro,New Zealand,0.0,0.19908291,llama8b
Euro,Republic of Ireland,0.0,0.43101364,llama8b
Greece,Civil rights movement,0.0,0.44154656,llama8b
Greece,Culture of Africa,0.0,0.4367134,llama8b
Greece,Euro,0.2,0.4288988,llama8b
Greece,India,0.0,0.5217618,llama8b
Greece,International Red Cross and Red Crescent Movement,0.1,0.47623327,llama8b
Greece,Jewish culture,0.0,0.3981577,llama8b
Greece,Native Americans in the United States,0.0,0.38780874,llama8b
Greece,New Zealand,0.0,0.37187487,llama8b
Greece,Republic of Ireland,0.0,0.43327886,llama8b
India,Civil rights movement,0.0,0.53593576,llama8b
India,Culture of Africa,0.0,0.55145967,llama8b
India,Euro,0.0,0.33258346,llama8b
India,Greece,0.0,0.5217618,llama8b
India,International Red Cross and Red Crescent Movement,0.1,0.42929327,llama8b
India,Jewish culture,0.0,0.40959907,llama8b
India,Native Americans in the United States,0.1,0.5852869,llama8b
India,New Zealand,0.0,0.57900184,llama8b
