run,model,label,size_b,model_key,dataset,dataset_label,optimal_layer,optimal_scale,n,judge_refusal
qwen05b_conceptvectors,Qwen 0.5B,Qwen .5B,0.5,qwen05b,conceptvectors,ConceptVectors,[2],210.0,910,0.7120879120879121
llama32_1b_conceptvectors,Llama 3.2 1B,L3.2 1B,1.0,llama32_1b,conceptvectors,ConceptVectors,[8],10.0,910,0.48021978021978023
llama32_3b_conceptvectors,Llama 3.2 3B,L3.2 3B,3.0,llama32_3b,conceptvectors,ConceptVectors,[6],8.0,910,0.21868131868131868
qwen3b_conceptvectors,Qwen 3B,Qwen 3B,3.0,qwen3b,conceptvectors,ConceptVectors,[17],210.0,910,0.8032967032967033
phi4mini_conceptvectors,Phi-4 mini,Phi mini,3.8,phi4mini,conceptvectors,ConceptVectors,[6],90.0,910,0.9769230769230769
mistral7b_conceptvectors,Mistral 7B,Mistral 7B,7.0,mistral7b,conceptvectors,ConceptVectors,[13],10.0,910,0.6604395604395604
qwen7b_conceptvectors,Qwen 7B,Qwen 7B,7.0,qwen7b,conceptvectors,ConceptVectors,[14],210.0,910,0.8010989010989011
llama8b_conceptvectors,Llama 3.1 8B,L3.1 8B,8.0,llama8b,conceptvectors,ConceptVectors,[1],7.0,910,0.4098901098901099
phi4_conceptvectors,Phi-4 14B,Phi-4 14B,14.0,phi4,conceptvectors,ConceptVectors,[9],90.0,910,0.8549450549450549
qwen05b_inhouse,Qwen 0.5B,Qwen .5B,0.5,qwen05b,inhouse,inhouse,[20],70.0,100,0.77
llama32_1b_inhouse,Llama 3.2 1B,L3.2 1B,1.0,llama32_1b,inhouse,inhouse,[9],6.0,100,0.84
llama32_3b_inhouse,Llama 3.2 3B,L3.2 3B,3.0,llama32_3b,inhouse,inhouse,[13],10.0,100,0.9
qwen3b_inhouse,Qwen 3B,Qwen 3B,3.0,qwen3b,inhouse,inhouse,[17],100.0,100,0.87
phi4mini_inhouse,Phi-4 mini,Phi mini,3.8,phi4mini,inhouse,inhouse,[0],50.0,100,0.36
mistral7b_inhouse,Mistral 7B,Mistral 7B,7.0,mistral7b,inhouse,inhouse,[11],6.0,100,0.83
qwen7b_inhouse,Qwen 7B,Qwen 7B,7.0,qwen7b,inhouse,inhouse,[14],90.0,100,0.91
llama8b_inhouse,Llama 3.1 8B,L3.1 8B,8.0,llama8b,inhouse,inhouse,[9],8.0,100,0.91
phi4_inhouse,Phi-4 14B,Phi-4 14B,14.0,phi4,inhouse,inhouse,[12],60.0,100,0.96
qwen14b_inhouse,Qwen 14B,Qwen 14B,14.0,qwen14b,inhouse,inhouse,[23],180.0,100,0.88
qwen05b_mmlu,Qwen 0.5B,Qwen .5B,0.5,qwen05b,mmlu,MMLU,[2],300.0,100,0.75
llama32_1b_mmlu,Llama 3.2 1B,L3.2 1B,1.0,llama32_1b,mmlu,MMLU,[8],10.0,100,0.74
llama32_3b_mmlu,Llama 3.2 3B,L3.2 3B,3.0,llama32_3b,mmlu,MMLU,[13],10.0,100,0.75
qwen3b_mmlu,Qwen 3B,Qwen 3B,3.0,qwen3b,mmlu,MMLU,[17],120.0,100,0.58
phi4mini_mmlu,Phi-4 mini,Phi mini,3.8,phi4mini,mmlu,MMLU,[6],120.0,100,0.89
mistral7b_mmlu,Mistral 7B,Mistral 7B,7.0,mistral7b,mmlu,MMLU,[11],8.0,100,0.89
qwen7b_mmlu,Qwen 7B,Qwen 7B,7.0,qwen7b,mmlu,MMLU,[14],150.0,100,0.9
llama8b_mmlu,Llama 3.1 8B,L3.1 8B,8.0,llama8b,mmlu,MMLU,[10],10.0,100,0.8
phi4_mmlu,Phi-4 14B,Phi-4 14B,14.0,phi4,mmlu,MMLU,[14],100.0,100,0.97
qwen14b_mmlu,Qwen 14B,Qwen 14B,14.0,qwen14b,mmlu,MMLU,[20],270.0,100,0.87
qwen05b_rwku,Qwen 0.5B,Qwen .5B,0.5,qwen05b,rwku,RWKU,[2],300.0,2000,0.856
llama32_1b_rwku,Llama 3.2 1B,L3.2 1B,1.0,llama32_1b,rwku,RWKU,[5],7.0,2000,0.5345
llama32_3b_rwku,Llama 3.2 3B,L3.2 3B,3.0,llama32_3b,rwku,RWKU,[14],10.0,2000,0.4585
qwen3b_rwku,Qwen 3B,Qwen 3B,3.0,qwen3b,rwku,RWKU,[19],240.0,2000,0.565
phi4mini_rwku,Phi-4 mini,Phi mini,3.8,phi4mini,rwku,RWKU,[6],150.0,2000,0.7725
mistral7b_rwku,Mistral 7B,Mistral 7B,7.0,mistral7b,rwku,RWKU,[11],10.0,2000,0.7715
qwen7b_rwku,Qwen 7B,Qwen 7B,7.0,qwen7b,rwku,RWKU,[14],150.0,2000,0.6955
llama8b_rwku,Llama 3.1 8B,L3.1 8B,8.0,llama8b,rwku,RWKU,[1],8.0,2000,0.545
phi4_rwku,Phi-4 14B,Phi-4 14B,14.0,phi4,rwku,RWKU,[14],100.0,2000,0.9235
qwen14b_rwku,Qwen 14B,Qwen 14B,14.0,qwen14b,rwku,RWKU,[17],300.0,2000,0.659
